Altium Designer Pick and Place Locations
E:\aSim Data\Usama Projects\Dock Electronics_v1.0\Design File\Project Outputs for DOCK_ESP32_v1.0\Pick Place for DOCK_ESP32_v1.0.csv

========================================================================================================================
File Design Information:

Date:       26/05/26
Time:       15:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C41","42.4757mm","25.7883mm","TopLayer","90","42.4757mm","25.7883mm","42.4757mm","25.0263mm"
"C42","43.3572mm","52.1105mm","TopLayer","90","43.3572mm","52.1105mm","43.3572mm","51.6406mm"
"C43","47.7090mm","52.3317mm","TopLayer","0","47.7090mm","52.3317mm","46.9470mm","52.3317mm"
"C44","44.4971mm","52.1108mm","TopLayer","270","44.4971mm","52.1108mm","44.4971mm","52.5807mm"
"D1","52.9476mm","34.1977mm","TopLayer","0","52.9476mm","34.1977mm","50.6476mm","34.1977mm"
"D2","65.1919mm","26.6700mm","TopLayer","180","65.1919mm","26.6700mm","67.4919mm","26.6700mm"
"D3","15.3670mm","59.9440mm","TopLayer","0","15.3670mm","59.9440mm","13.7920mm","59.9440mm"
"D4","38.2580mm","26.6699mm","TopLayer","270","38.2580mm","26.6699mm","38.2580mm","24.9849mm"
"D5","56.6560mm","42.6720mm","TopLayer","180","56.6560mm","42.6720mm","57.0760mm","42.6720mm"
"D6","56.6560mm","45.2120mm","TopLayer","180","56.6560mm","45.2120mm","57.0760mm","45.2120mm"
"D7","43.9018mm","59.4193mm","TopLayer","270","43.9018mm","59.4193mm","43.9018mm","59.8393mm"
"D8","41.9018mm","59.4190mm","TopLayer","270","41.9018mm","59.4190mm","41.9018mm","59.8390mm"
"F1","65.1944mm","22.0700mm","TopLayer","180","65.1944mm","22.0700mm","67.6844mm","22.0700mm"
"J1","65.9130mm","46.4620mm","TopLayer","90","65.9130mm","45.2120mm","65.9130mm","37.7120mm"
"J2","66.0400mm","14.2240mm","TopLayer","90","66.0400mm","14.2240mm","66.0400mm","12.9740mm"
"J3","16.4133mm","49.6124mm","TopLayer","180","15.1633mm","49.6124mm","22.6633mm","49.6124mm"
"J4","15.7480mm","66.0400mm","TopLayer","180","15.7480mm","66.0400mm","16.9980mm","66.0400mm"
"J5","42.9060mm","66.0400mm","TopLayer","180","46.6560mm","66.0400mm","46.6560mm","66.0400mm"
"J6","27.9400mm","66.0400mm","TopLayer","180","27.9400mm","66.0400mm","29.1900mm","66.0400mm"
"L1","35.1790mm","6.4770mm","TopLayer","90","35.1790mm","6.4770mm","35.1790mm","2.4270mm"
"L2","21.6510mm","5.4976mm","TopLayer","90","21.6510mm","5.4976mm","21.6510mm","3.9976mm"
"L3","33.4001mm","26.6700mm","TopLayer","0","33.4001mm","26.6700mm","31.8001mm","26.6700mm"
"LED1","16.3816mm","23.2254mm","TopLayer","0","16.3816mm","23.2254mm","15.6316mm","23.2254mm"
"Q1","45.8101mm","39.0200mm","TopLayer","0","45.8101mm","39.0200mm","44.8601mm","38.0200mm"
"Q2","55.6814mm","15.9150mm","TopLayer","90","55.6814mm","15.9150mm","56.6814mm","14.9650mm"
"Q3","9.5410mm","59.9440mm","TopLayer","270","9.5410mm","59.9440mm","8.5410mm","60.8940mm"
"R1","43.3612mm","9.2685mm","TopLayer","90","43.3612mm","9.2685mm","43.3612mm","8.5065mm"
"R2","44.9038mm","9.2685mm","TopLayer","270","44.9038mm","9.2685mm","44.9038mm","10.0305mm"
"R3","53.4101mm","39.0389mm","TopLayer","0","53.4101mm","39.0389mm","50.1601mm","39.0389mm"
"R4","44.8717mm","35.3821mm","TopLayer","90","44.8717mm","35.3821mm","44.8717mm","34.6201mm"
"R5","43.4340mm","35.8139mm","TopLayer","90","43.4340mm","35.8139mm","43.4340mm","35.3440mm"
"R6","49.6060mm","43.0530mm","TopLayer","270","49.6060mm","43.0530mm","49.6060mm","43.5229mm"
"R7","11.4199mm","23.2252mm","TopLayer","0","11.4199mm","23.2252mm","10.9500mm","23.2252mm"
"R8","13.5300mm","23.2254mm","TopLayer","180","13.5300mm","23.2254mm","13.9999mm","23.2254mm"
"R9","6.4271mm","60.8915mm","TopLayer","0","6.4271mm","60.8915mm","5.9572mm","60.8915mm"
"R10","6.8081mm","59.2416mm","TopLayer","90","6.8081mm","59.2416mm","6.8081mm","58.7717mm"
"R11","26.6700mm","59.6900mm","TopLayer","270","26.6700mm","59.6900mm","26.6700mm","60.1599mm"
"R13","41.4102mm","52.1105mm","TopLayer","270","41.4102mm","52.1105mm","41.4102mm","52.5804mm"
"SW1","34.5440mm","49.2760mm","TopLayer","270","34.5440mm","49.2760mm","34.5440mm","50.9510mm"
"SW2","29.4640mm","49.2760mm","TopLayer","270","29.4640mm","49.2760mm","29.4640mm","50.9510mm"
"U1","45.9740mm","5.2070mm","TopLayer","180","45.9740mm","5.2070mm","46.6678mm","4.0133mm"
"U2","27.1120mm","6.9280mm","TopLayer","270","27.1120mm","6.9280mm","28.0620mm","8.1280mm"
"U4","48.0060mm","47.3710mm","TopLayer","180","48.0060mm","47.3710mm","50.0060mm","46.1210mm"
"U6","51.8550mm","14.8590mm","TopLayer","90","51.8550mm","14.8590mm","50.9050mm","13.5490mm"
"U7","16.5100mm","35.5600mm","TopLayer","90","16.5100mm","35.5600mm","7.6300mm","26.8100mm"
"U9","34.8305mm","21.2089mm","TopLayer","180","34.8305mm","21.2089mm","36.0305mm","20.2589mm"
"U10","43.4102mm","55.7962mm","TopLayer","180","43.4102mm","55.7962mm","44.8603mm","55.0462mm"
"X1","47.7090mm","55.5438mm","TopLayer","180","47.7090mm","55.5438mm","48.6340mm","56.3188mm"
